06.06.2025                                                            Dynamic List Display                                                                                                                      1


	/BIC/MD_EMP	OBJVERS	CHANGED	/BIC/MD_EMP_P	/BIC/MD_EM_SN	/BIC/MD_EM_PS	/BIC/MD_EM_SD	/BIC/MD_EM_BD	/BIC/MD_EM_EM	/BIC/MD_PH	/BIC/MD_EM_GN	/BIC/MD_DP_GR
	       0073	A		         0143	    121491555	FINANCE MANAGER	26.01.2003	12.11.1978	WENDY0@ADVENTURE-WORKS.COM	248-555-0134	F	           02
	       0074	A		         0087	    420776180	STOCKER	27.01.2003	01.06.1978	KIM0@ADVENTURE-WORKS.COM	309-555-0129	F	           01
	       0075	A		         0138	    604664374	PRODUCTION TECHNICIAN - WC30	27.01.2003	06.12.1969	SANDRA0@ADVENTURE-WORKS.COM	896-555-0168	F	           01
	       0076	A		         0023	    778552911	PRODUCTION SUPERVISOR - WC50	28.01.2003	30.05.1974	KOK-HO0@ADVENTURE-WORKS.COM	999-555-0155	M	           02
	       0077	A		         0163	    435234965	PRODUCTION TECHNICIAN - WC45	28.01.2003	26.12.1979	DOUGLAS0@ADVENTURE-WORKS.COM	808-555-0172	M	           01
	       0078	A		         0009	    339712426	PRODUCTION TECHNICIAN - WC60	28.01.2003	26.08.1978	JAMES0@ADVENTURE-WORKS.COM	119-555-0117	M	           01
	       0079	A		         0043	    403414852	QUALITY ASSURANCE TECHNICIAN	29.01.2003	07.04.1970	SEAN0@ADVENTURE-WORKS.COM	420-555-0173	M	           02
	       0080	A		         0186	    368920189	PRODUCTION TECHNICIAN - WC20	29.01.2003	01.01.1981	NITIN0@ADVENTURE-WORKS.COM	143-555-0173	M	           01
	       0081	A		         0162	    811994146	RESEARCH AND DEVELOPMENT ENGINEER	30.01.2003	06.07.1980	DIANE1@ADVENTURE-WORKS.COM	815-555-0138	F	           02
	       0082	A		         0018	    330211482	PRODUCTION TECHNICIAN - WC60	30.01.2003	11.08.1971	REBECCA0@ADVENTURE-WORKS.COM	314-555-0113	F	           01
	       0083	A		         0214	    632092621	PRODUCTION TECHNICIAN - WC40	01.02.2003	05.11.1971	RAJESH0@ADVENTURE-WORKS.COM	373-555-0137	M	           01
	       0084	A		         0032	    264306399	RECRUITER	02.02.2003	02.09.1978	VIDUR0@ADVENTURE-WORKS.COM	153-555-0186	M	           02
	       0085	A		         0040	    981597097	PRODUCTION TECHNICIAN - WC50	02.02.2003	01.07.1972	JOHN1@ADVENTURE-WORKS.COM	172-555-0130	M	           01
	       0086	A		         0009	    693325305	PRODUCTION TECHNICIAN - WC60	03.02.2003	21.12.1982	NANCY0@ADVENTURE-WORKS.COM	970-555-0118	F	           01
	       0087	A		         0023	    521265716	SHIPPING AND RECEIVING SUPERVISOR	03.02.2003	11.10.1966	PILAR0@ADVENTURE-WORKS.COM	577-555-0185	M	           02
	       0088	A		         0188	    746373306	PRODUCTION TECHNICIAN - WC30	03.02.2003	04.09.1975	DAVID3@ADVENTURE-WORKS.COM	373-555-0142	M	           01
	       0089	A		         0023	    750905084	PRODUCTION SUPERVISOR - WC40	04.02.2003	02.08.1977	DAVID4@ADVENTURE-WORKS.COM	986-555-0177	M	           02
	       0090	A		         0126	    514829225	PRODUCTION TECHNICIAN - WC45	04.02.2003	26.01.1975	LAURA0@ADVENTURE-WORKS.COM	777-555-0141	F	           01
	       0091	A		         0018	    750246141	PRODUCTION TECHNICIAN - WC60	05.02.2003	20.06.1980	MARGIE0@ADVENTURE-WORKS.COM	818-555-0128	F	           01
	       0092	A		         0204	    345106466	DOCUMENT CONTROL MANAGER	05.02.2003	02.03.1970	ZAINAL0@ADVENTURE-WORKS.COM	204-555-0115	M	           02
	       0093	A		         0214	    019312190	PRODUCTION TECHNICIAN - WC40	05.02.2003	28.12.1982	LORRAINE0@ADVENTURE-WORKS.COM	845-555-0184	F	           01
	       0094	A		         0147	    212801092	PRODUCTION TECHNICIAN - WC20	05.02.2003	19.03.1983	FADI0@ADVENTURE-WORKS.COM	935-555-0116	M	           01
	       0095	A		         0053	    769680433	PRODUCTION TECHNICIAN - WC40	06.02.2003	15.07.1966	RYAN0@ADVENTURE-WORKS.COM	208-555-0114	M	           01
	       0096	A		         0142	    060517918	ACCOUNTS RECEIVABLE SPECIALIST	07.02.2003	26.03.1970	CANDY0@ADVENTURE-WORKS.COM	920-555-0177	F	           02
	       0097	A		         0076	    431859843	PRODUCTION TECHNICIAN - WC50	07.02.2003	29.04.1973	NUAN0@ADVENTURE-WORKS.COM	913-555-0184	M	           01
	       0098	A		         0046	    621209647	SCHEDULING ASSISTANT	08.02.2003	08.12.1975	WILLIAM0@ADVENTURE-WORKS.COM	148-555-0145	M	           02
	       0099	A		         0046	    621209647	SCHEDULING ASSISTANT	08.02.2003	08.12.1975	WILLIAM0@ADVENTURE-WORKS.COM	148-555-0145	M	           02
	       0100	A		         0177	    420023788	PRODUCTION TECHNICIAN - WC30	08.02.2003	08.12.1983	BJORN0@ADVENTURE-WORKS.COM	199-555-0117	M	           01
	       0101	A		         0201	    199546871	PRODUCTION TECHNICIAN - WC45	09.02.2003	13.03.1981	SCOTT0@ADVENTURE-WORKS.COM	391-555-0138	M	           01
	       0102	A		         0089	    830150469	PRODUCTION TECHNICIAN - WC40	11.02.2003	04.02.1985	MICHAEL1@ADVENTURE-WORKS.COM	454-555-0119	M	           01
	       0103	A		         0147	    322160340	PRODUCTION TECHNICIAN - WC20	12.02.2003	24.10.1968	LANE0@ADVENTURE-WORKS.COM	200-555-0117	M	           01
	       0104	A		         0016	    827686041	PRODUCTION TECHNICIAN - WC50	12.02.2003	07.03.1971	PETE0@ADVENTURE-WORKS.COM	768-555-0123	M	           01
	       0105	A		         0044	    671089628	APPLICATION SPECIALIST	12.02.2003	28.07.1975	DAN0@ADVENTURE-WORKS.COM	166-555-0159	M	           02
	       0106	A		         0143	    231203233	ASSISTANT TO THE CHIEF FINANCIAL OFFICER	13.02.2003	23.07.1958	DAVID5@ADVENTURE-WORKS.COM	477-555-0132	M	           02
	       0107	A		         0076	    204035155	PRODUCTION TECHNICIAN - WC50	13.02.2003	25.02.1967	LOLAN0@ADVENTURE-WORKS.COM	582-555-0178	M	           01
	       0108	A		         0214	    992874797	PRODUCTION TECHNICIAN - WC40	13.02.2003	13.03.1981	PAULA1@ADVENTURE-WORKS.COM	476-555-0119	F	           01
	       0109	A		         0007	    767955365	MARKETING SPECIALIST	13.02.2003	14.10.1956	MARY0@ADVENTURE-WORKS.COM	531-555-0183	F	           02
	       0110	A		         0040	    342607223	PRODUCTION TECHNICIAN - WC50	14.02.2003	07.06.1972	MINDAUGAS0@ADVENTURE-WORKS.COM	637-555-0120	M	           01
	       0111	A		         0023	    045615666	PRODUCTION SUPERVISOR - WC20	15.02.2003	20.02.1979	ERIC0@ADVENTURE-WORKS.COM	260-555-0119	M	           02
	       0112	A		         0000	    295847284	CHIEF EXECUTIVE OFFICER	15.02.2003	02.03.1963	KEN0@ADVENTURE-WORKS.COM	697-555-0142	M	           02
	       0113	A		         0138	    733022683	PRODUCTION TECHNICIAN - WC30	15.02.2003	08.01.1983	JASON0@ADVENTURE-WORKS.COM	571-555-0179	M	           01
	       0114	A		         0043	    381772114	QUALITY ASSURANCE TECHNICIAN	16.02.2003	31.05.1980	MARK0@ADVENTURE-WORKS.COM	147-555-0179	M	           02
	       0115	A		         0163	    187369436	PRODUCTION TECHNICIAN - WC45	16.02.2003	25.08.1966	JANETH0@ADVENTURE-WORKS.COM	540-555-0191	F	           01
	       0116	A		         0188	    364818297	PRODUCTION TECHNICIAN - WC30	17.02.2003	24.11.1980	MARC0@ADVENTURE-WORKS.COM	234-555-0169	M	           01
	       0117	A		         0162	    658797903	RESEARCH AND DEVELOPMENT ENGINEER	17.02.2003	21.02.1973	GIGI0@ADVENTURE-WORKS.COM	185-555-0186	F	           02
	       0118	A		         0111	    886023130	PRODUCTION TECHNICIAN - WC20	18.02.2003	05.12.1984	PAUL1@ADVENTURE-WORKS.COM	727-555-0112	M	           01
	       0119	A		         0214	    749211824	PRODUCTION TECHNICIAN - WC40	18.02.2003	07.10.1981	FRANK0@ADVENTURE-WORKS.COM	158-555-0191	M	           01
	       0120	A		         0044	    643805155	DATABASE ADMINISTRATOR	18.02.2003	17.06.1969	FRAN?OIS0@ADVENTURE-WORKS.COM	785-555-0110	M	           02
	       0121	A		         0016	    092096924	PRODUCTION TECHNICIAN - WC50	19.02.2003	10.09.1983	DIANE2@ADVENTURE-WORKS.COM	361-555-0180	F	           01
	       0122	A		         0007	    072636981	MARKETING SPECIALIST	19.02.2003	19.07.1973	JILL0@ADVENTURE-WORKS.COM	510-555-0121	F	           02
	       0123	A		         0040	    563680513	PRODUCTION TECHNICIAN - WC50	21.02.2003	01.07.1985	ANGELA0@ADVENTURE-WORKS.COM	150-555-0194	F	           01
	       0124	A		         0087	    584205124	SHIPPING AND RECEIVING CLERK	21.02.2003	13.12.1967	MATTHIAS0@ADVENTURE-WORKS.COM	139-555-0120	M	           02
	       0125	A		         0009	    458159238	PRODUCTION TECHNICIAN - WC60	22.02.2003	28.09.1967	BRYAN0@ADVENTURE-WORKS.COM	712-555-0113	M	           01
	       0126	A		         0023	    712885347	PRODUCTION SUPERVISOR - WC45	22.02.2003	16.02.1971	JEFF0@ADVENTURE-WORKS.COM	350-555-0167	M	           02
	       0127	A		         0188	    087268837	PRODUCTION TECHNICIAN - WC30	22.02.2003	15.08.1981	EUGENE0@ADVENTURE-WORKS.COM	241-555-0191	M	           01
	       0128	A		         0186	    969985265	PRODUCTION TECHNICIAN - WC20	23.02.2003	02.08.1973	BARBARA0@ADVENTURE-WORKS.COM	119-555-0192	F	           01
	       0129	A		         0126	    539490372	PRODUCTION TECHNICIAN - WC45	23.02.2003	17.01.1983	CHRIS0@ADVENTURE-WORKS.COM	200-555-0112	M	           01
	       0130	A		         0092	    242381745	DOCUMENT CONTROL ASSISTANT	23.02.2003	12.04.1981	SEAN1@ADVENTURE-WORKS.COM	205-555-0132	M	           02
	       0131	A		         0044	    929666391	DATABASE ADMINISTRATOR	23.02.2003	06.02.1970	DAN1@ADVENTURE-WORKS.COM	653-555-0144	M	           02
	       0132	A		         0018	    948320468	PRODUCTION TECHNICIAN - WC60	24.02.2003	26.10.1973	MARK1@ADVENTURE-WORKS.COM	417-555-0154	M	           01
	       0133	A		         0142	    931190412	ACCOUNTS RECEIVABLE SPECIALIST	25.02.2003	22.10.1978	BRYAN1@ADVENTURE-WORKS.COM	935-555-0199	M	           02
	       0134	A		         0076	    153288994	PRODUCTION TECHNICIAN - WC50	26.02.2003	30.09.1965	HOUMAN0@ADVENTURE-WORKS.COM	180-555-0136	M	           01
	       0135	A		         0046	    981495526	SCHEDULING ASSISTANT	27.02.2003	22.01.1982	SAIRAJ0@ADVENTURE-WORKS.COM	500-555-0159	M	           02
	       0136	A		         0177	    363996959	PRODUCTION TECHNICIAN - WC30	27.02.2003	28.07.1976	MICHIKO0@ADVENTURE-WORKS.COM	984-555-0148	M	           01
	       0137	A		         0188	    585408256	PRODUCTION TECHNICIAN - WC30	28.02.2003	06.02.1980	BENJAMIN0@ADVENTURE-WORKS.COM	533-555-0111	M	           01
	       0138	A		         0023	    386315192	PRODUCTION SUPERVISOR - WC30	28.02.2003	19.09.1975	CYNTHIA0@ADVENTURE-WORKS.COM	352-555-0138	F	           02
	       0139	A		         0201	    167554340	PRODUCTION TECHNICIAN - WC45	28.02.2003	02.12.1984	KATHIE0@ADVENTURE-WORKS.COM	446-555-0118	F	           01
	       0140	A		         0018	    410742000	PRODUCTION TECHNICIAN - WC60	02.03.2003	30.10.1983	BRITTA0@ADVENTURE-WORKS.COM	955-555-0169	F	           01
	       0141	A		         0214	    746201340	PRODUCTION TECHNICIAN - WC40	02.03.2003	14.03.1971	BRIAN0@ADVENTURE-WORKS.COM	110-555-0182	M	           01
	       0142	A		         0143	    000030845	ACCOUNTS MANAGER	03.03.2003	08.08.1977	DAVID6@ADVENTURE-WORKS.COM	646-555-0185	M	           02
	       0143	A		         0112	    184188301	CHIEF FINANCIAL OFFICER	04.03.2003	06.02.1970	LAURA1@ADVENTURE-WORKS.COM	615-555-0110	F	           02
	       0144	A		         0112	    184188301	CHIEF FINANCIAL OFFICER	04.03.2003	06.02.1970	LAURA1@ADVENTURE-WORKS.COM	615-555-0110	F	           02
	       0145	A		         0040	    398737566	PRODUCTION TECHNICIAN - WC50	04.03.2003	03.06.1968	MICHAEL2@ADVENTURE-WORKS.COM	441-555-0195	M	           01
	       0146	A		         0138	    764853868	PRODUCTION TECHNICIAN - WC30	04.03.2003	20.11.1977	ANDY0@ADVENTURE-WORKS.COM	118-555-0110	M	           01
	       0147	A		         0023	    319472946	PRODUCTION SUPERVISOR - WC20	05.03.2003	08.05.1971	YUHONG0@ADVENTURE-WORKS.COM	965-555-0155	M	           02
	       0148	A		         0163	    456839592	PRODUCTION TECHNICIAN - WC45	06.03.2003	01.04.1979	ROBERT0@ADVENTURE-WORKS.COM	589-555-0147	M	           01
	       0149	A		         0043	    131471224	QUALITY ASSURANCE TECHNICIAN	06.03.2003	29.04.1983	ANDREAS0@ADVENTURE-WORKS.COM	181-555-0124	M	           02
	       0150	A		         0188	    259388196	PRODUCTION TECHNICIAN - WC30	06.03.2003	09.02.1983	REED0@ADVENTURE-WORKS.COM	678-555-0110	M	           01
	       0151	A		         0147	    812797414	PRODUCTION TECHNICIAN - WC20	07.03.2003	06.11.1971	LINDA1@ADVENTURE-WORKS.COM	696-555-0157	F	           01
	       0152	A		         0112	    519899904	VICE PRESIDENT OF PRODUCTION	07.03.2003	07.02.1977	JAMES1@ADVENTURE-WORKS.COM	870-555-0122	M	           02
	       0153	A		         0044	    314747499	APPLICATION SPECIALIST	07.03.2003	14.04.1982	RAMESH0@ADVENTURE-WORKS.COM	182-555-0134	M	           02
	       0154	A		         0044	    858323870	NETWORK MANAGER	08.03.2003	26.04.1978	STEPHANIE0@ADVENTURE-WORKS.COM	594-555-0110	F	           02
	       0155	A		         0111	    025011600	PRODUCTION TECHNICIAN - WC20	08.03.2003	23.12.1981	SAMANTHA0@ADVENTURE-WORKS.COM	587-555-0114	F	           01
	       0156	A		         0214	    436757988	PRODUCTION TECHNICIAN - WC40	09.03.2003	12.12.1983	TAWANA0@ADVENTURE-WORKS.COM	368-555-0113	M	           01
	       0157	A		         0016	    652535724	PRODUCTION TECHNICIAN - WC50	09.03.2003	07.08.1982	DENISE0@ADVENTURE-WORKS.COM	869-555-0119	F	           01
	       0158	A		         0032	    416679555	HUMAN RESOURCES ADMINISTRATIVE ASSISTANT	10.03.2003	19.05.1971	HAO0@ADVENTURE-WORKS.COM	806-555-0136	M	           02
	       0159	A		         0126	    377784364	PRODUCTION TECHNICIAN - WC45	12.03.2003	14.05.1984	ALEX0@ADVENTURE-WORKS.COM	819-555-0198	M	           01
	       0160	A		         0009	    066073987	PRODUCTION TECHNICIAN - WC60	12.03.2003	13.03.1970	EUGENE1@ADVENTURE-WORKS.COM	173-555-0179	M	           01
	       0161	A		         0018	    999440576	PRODUCTION TECHNICIAN - WC60	12.03.2003	11.02.1971	BRANDON0@ADVENTURE-WORKS.COM	429-555-0137	M	           01
	       0162	A		         0003	    134969118	RESEARCH AND DEVELOPMENT MANAGER	12.03.2003	27.03.1981	DYLAN0@ADVENTURE-WORKS.COM	181-555-0156	M	           02
	       0163	A		         0023	    551834634	PRODUCTION SUPERVISOR - WC45	12.03.2003	24.06.1984	SHANE0@ADVENTURE-WORKS.COM	810-555-0178	M	           02
