06.06.2025                                                                                  Dynamic List Display                                                                                                                                           1


	/BIC/MD_CUS	OBJVERS	CHANGED	/BIC/MD_C_ALT	/BIC/MD_EM_BD	/BIC/MD_CU_MS	/BIC/MD_EM_GN	/BIC/MD_EM_EM	/BIC/MD_CU_YI	/BIC/MD_CU_ED	/BIC/MD_CU_OC	/BIC/MD_CU_HO	/BIC/MD_CU_NC	/BIC/MD_AD	/BIC/MD_PH
	      11032	A		AW00011032	11.06.1947	M	F	DENISE10@ADVENTURE-WORKS.COM	  20.000,000	HIGH SCHOOL	SKILLED MANUAL	        00001	           2	626 BENTLEY STREET	1 (11) 500 555-0169
	      11033	A		AW00011033	23.09.1947	M	M	JAIME41@ADVENTURE-WORKS.COM	  20.000,000	HIGH SCHOOL	SKILLED MANUAL	        00001	           2	5927 RAINBOW DR	1 (11) 500 555-0137
	      11034	A		AW00011034	19.06.1947	M	F	EBONY19@ADVENTURE-WORKS.COM	  20.000,000	HIGH SCHOOL	SKILLED MANUAL	        00001	           2	5167 CONDOR PLACE	1 (11) 500 555-0136
	      11035	A		AW00011035	24.02.1948	M	F	WENDY12@ADVENTURE-WORKS.COM	  10.000,000	PARTIAL HIGH SCHOOL	CLERICAL	        00001	           2	1873 MT. WHITNEY DR	1 (11) 500 555-0177
	      11036	A		AW00011036	18.12.1978	M	F	JENNIFER93@ADVENTURE-WORKS.COM	  60.000,000	PARTIAL COLLEGE	SKILLED MANUAL	        00001	           2	3981 AUGUSTINE DRIVE	115-555-0183
	      11037	A		AW00011037	27.11.1977	S	F	CHLOE27@ADVENTURE-WORKS.COM	  40.000,000	PARTIAL HIGH SCHOOL	CLERICAL	        00000	           2	8915 WOODSIDE WAY	229-555-0112
	      11038	A		AW00011038	23.03.1948	M	F	DIANA2@ADVENTURE-WORKS.COM	  10.000,000	PARTIAL HIGH SCHOOL	CLERICAL	        00001	           2	8357 SANDY COVE LANE	1 (11) 500 555-0114
	      11039	A		AW00011039	17.12.1948	M	M	MARC3@ADVENTURE-WORKS.COM	  30.000,000	PARTIAL COLLEGE	CLERICAL	        00001	           2	9353 CREEKSIDE DR.	1 (11) 500 555-0183
	      11040	A		AW00011040	01.08.1977	M	M	JESSE15@ADVENTURE-WORKS.COM	  30.000,000	PARTIAL COLLEGE	SKILLED MANUAL	        00001	           2	3350 KINGSWOOD CIRCLE	961-555-0176
	      11041	A		AW00011041	16.10.1977	M	F	AMANDA53@ADVENTURE-WORKS.COM	  60.000,000	PARTIAL COLLEGE	SKILLED MANUAL	        00001	           2	5826 ESCOBAR	295-555-0145
	      11042	A		AW00011042	13.06.1977	M	F	MEGAN28@ADVENTURE-WORKS.COM	  70.000,000	PARTIAL COLLEGE	SKILLED MANUAL	        00001	           2	1397 PARAISO CT.	404-555-0199
	      11043	A		AW00011043	24.02.1976	M	M	NATHAN11@ADVENTURE-WORKS.COM	  60.000,000	PARTIAL COLLEGE	SKILLED MANUAL	        00001	           2	1170 SHAW RD	296-555-0181
	      11044	A		AW00011044	24.05.1949	M	M	ADAM10@ADVENTURE-WORKS.COM	  20.000,000	PARTIAL HIGH SCHOOL	CLERICAL	        00001	           2	6935 CANDLE DR	1 (11) 500 555-0163
	      11045	A		AW00011045	19.05.1950	S	M	LEONARD18@ADVENTURE-WORKS.COM	  30.000,000	HIGH SCHOOL	SKILLED MANUAL	        00000	           2	7466 LA VISTA AVE.	1 (11) 500 555-0151
	      11046	A		AW00011046	22.03.1950	M	F	CHRISTINE4@ADVENTURE-WORKS.COM	  30.000,000	HIGH SCHOOL	SKILLED MANUAL	        00001	           2	2356 ORANGE ST	1 (11) 500 555-0113
	      11047	A		AW00011047	27.02.1950	M	F	JACLYN12@ADVENTURE-WORKS.COM	  30.000,000	HIGH SCHOOL	SKILLED MANUAL	        00000	           2	2812 MAZATLAN	1 (11) 500 555-0137
	      11048	A		AW00011048	22.11.1950	M	M	JEREMY26@ADVENTURE-WORKS.COM	  30.000,000	HIGH SCHOOL	SKILLED MANUAL	        00001	           2	1803 POTOMAC DR.	1 (11) 500 555-0183
	      11049	A		AW00011049	18.07.1980	S	F	CAROL8@ADVENTURE-WORKS.COM	  40.000,000	PARTIAL HIGH SCHOOL	CLERICAL	        00001	           2	6064 MADRID	654-555-0180
	      11050	A		AW00011050	07.09.1951	M	M	ALAN23@ADVENTURE-WORKS.COM	  30.000,000	HIGH SCHOOL	SKILLED MANUAL	        00001	           2	2741 GAINBOROUGH DR.	1 (11) 500 555-0135
	      11051	A		AW00011051	04.08.1951	S	M	DANIEL18@ADVENTURE-WORKS.COM	  30.000,000	HIGH SCHOOL	SKILLED MANUAL	        00000	           2	8085 SUNNYVALE AVENUE	1 (11) 500 555-0155
	      11052	A		AW00011052	07.08.1951	S	F	HEIDI19@ADVENTURE-WORKS.COM	  40.000,000	PARTIAL COLLEGE	CLERICAL	        00000	           2	2514 VIA CORDONA	1 (11) 500 555-0168
	      11053	A		AW00011053	20.08.1980	M	F	ANA0@ADVENTURE-WORKS.COM	  60.000,000	PARTIAL COLLEGE	SKILLED MANUAL	        00000	           2	1660 STONYHILL CIRCLE	859-555-0113
	      11054	A		AW00011054	10.03.1952	M	F	DEANNA33@ADVENTURE-WORKS.COM	  40.000,000	PARTIAL COLLEGE	SKILLED MANUAL	        00001	           2	5825 B WAY	1 (11) 500 555-0192
	      11055	A		AW00011055	05.03.1952	M	M	GILBERT35@ADVENTURE-WORKS.COM	  40.000,000	PARTIAL COLLEGE	SKILLED MANUAL	        00001	           2	8811 THE TREES DR.	1 (11) 500 555-0129
	      11056	A		AW00011056	03.04.1953	M	F	MICHELE19@ADVENTURE-WORKS.COM	  40.000,000	PARTIAL COLLEGE	SKILLED MANUAL	        00001	           2	5464 JANIN PL.	1 (11) 500 555-0178
	      11057	A		AW00011057	12.10.1953	M	M	CARL12@ADVENTURE-WORKS.COM	  70.000,000	GRADUATE DEGREE	MANAGEMENT	        00001	           2	6930 LAKE NADINE PLACE	1 (11) 500 555-0181
	      11058	A		AW00011058	27.04.1954	M	M	MARC6@ADVENTURE-WORKS.COM	  80.000,000	PARTIAL COLLEGE	SKILLED MANUAL	        00001	           2	6645 SINALOA	1 (11) 500 555-0149
	      11059	A		AW00011059	01.04.1954	S	F	ASHLEE19@ADVENTURE-WORKS.COM	  80.000,000	PARTIAL COLLEGE	SKILLED MANUAL	        00001	           2	8255 HIGHLAND ROAD	1 (11) 500 555-0112
	      11060	A		AW00011060	17.03.1954	M	M	JON28@ADVENTURE-WORKS.COM	  80.000,000	PARTIAL COLLEGE	SKILLED MANUAL	        00001	           2	6574 HEMLOCK AVE.	1 (11) 500 555-0174
	      11061	A		AW00011061	27.02.1954	M	M	TODD14@ADVENTURE-WORKS.COM	  80.000,000	PARTIAL COLLEGE	SKILLED MANUAL	        00001	           2	8808 GENEVA AVE	1 (11) 500 555-0191
	      11062	A		AW00011062	02.09.1975	M	M	NOAH5@ADVENTURE-WORKS.COM	  40.000,000	HIGH SCHOOL	SKILLED MANUAL	        00001	           2	9794 MARION CT	767-555-0113
	      11063	A		AW00011063	07.04.1975	S	F	ANGELA41@ADVENTURE-WORKS.COM	  40.000,000	HIGH SCHOOL	SKILLED MANUAL	        00001	           2	4927 VIRGIL STREET	451-555-0162
	      11064	A		AW00011064	07.12.1975	M	M	CHASE21@ADVENTURE-WORKS.COM	  40.000,000	HIGH SCHOOL	SKILLED MANUAL	        00001	           2	2721 ALEXANDER PL.	892-555-0184
	      11065	A		AW00011065	09.10.1973	M	F	JESSICA29@ADVENTURE-WORKS.COM	  60.000,000	PARTIAL COLLEGE	SKILLED MANUAL	        00000	           2	9343 IRONWOOD WAY	278-555-0186
	      11066	A		AW00011066	27.11.1973	M	F	GRACE62@ADVENTURE-WORKS.COM	  70.000,000	PARTIAL COLLEGE	PROFESSIONAL	        00001	           2	4739 GARDEN AVE.	712-555-0141
	      11067	A		AW00011067	25.09.1976	S	M	CALEB40@ADVENTURE-WORKS.COM	  60.000,000	PARTIAL COLLEGE	PROFESSIONAL	        00001	           2	9563 PENNSYLVANIA BLVD.	944-555-0167
	      11068	A		AW00011068	23.09.1955	S	F	TIFFANY17@ADVENTURE-WORKS.COM	  80.000,000	HIGH SCHOOL	SKILLED MANUAL	        00001	           2	3608 SINCLAIR AVENUE	1 (11) 500 555-0177
	      11069	A		AW00011069	21.09.1955	S	F	CAROLYN30@ADVENTURE-WORKS.COM	  80.000,000	HIGH SCHOOL	SKILLED MANUAL	        00000	           2	4606 SPRINGWOOD COURT	1 (11) 500 555-0145
	      11070	A		AW00011070	05.04.1955	M	M	WILLIE40@ADVENTURE-WORKS.COM	  80.000,000	HIGH SCHOOL	SKILLED MANUAL	        00001	           2	6260 VERNAL DRIVE	1 (11) 500 555-0151
	      11071	A		AW00011071	26.06.1955	S	F	LINDA31@ADVENTURE-WORKS.COM	  80.000,000	HIGH SCHOOL	SKILLED MANUAL	        00001	           2	9808 SHAW RD.	1 (11) 500 555-0130
	      11072	A		AW00011072	06.02.1955	S	F	CASEY6@ADVENTURE-WORKS.COM	  80.000,000	HIGH SCHOOL	SKILLED MANUAL	        00000	           2	9513 ROSLYN DRIVE	1 (11) 500 555-0125
	      11073	A		AW00011073	14.08.1956	S	F	AMY16@ADVENTURE-WORKS.COM	  70.000,000	HIGH SCHOOL	SKILLED MANUAL	        00001	           2	2262 KIRKWOOD CT.	1 (11) 500 555-0185
	      11074	A		AW00011074	28.08.1956	S	M	LEVI6@ADVENTURE-WORKS.COM	  70.000,000	HIGH SCHOOL	SKILLED MANUAL	        00001	           2	4661 BLUETAIL	1 (11) 500 555-0127
	      11075	A		AW00011075	16.11.1957	S	F	FELICIA4@ADVENTURE-WORKS.COM	  80.000,000	HIGH SCHOOL	PROFESSIONAL	        00001	           2	786 EASTGATE AVE	1 (11) 500 555-0165
	      11076	A		AW00011076	13.07.1957	S	M	BLAKE9@ADVENTURE-WORKS.COM	  80.000,000	HIGH SCHOOL	PROFESSIONAL	        00001	           2	5436 CLEAR	1 (11) 500 555-0113
	      11077	A		AW00011077	19.09.1957	S	F	LEAH7@ADVENTURE-WORKS.COM	  80.000,000	HIGH SCHOOL	PROFESSIONAL	        00000	           2	1291 ARGUELLO BLVD.	1 (11) 500 555-0154
	      11078	A		AW00011078	10.01.1974	S	F	GINA1@ADVENTURE-WORKS.COM	  40.000,000	HIGH SCHOOL	PROFESSIONAL	        00000	           2	1349 SOL ST.	196-555-0114
	      11079	A		AW00011079	11.03.1959	S	M	DONALD20@ADVENTURE-WORKS.COM	 160.000,000	GRADUATE DEGREE	MANAGEMENT	        00001	           2	4236 MALIBU PLACE	1 (11) 500 555-0137
	      11080	A		AW00011080	17.07.1959	M	M	DAMIEN32@ADVENTURE-WORKS.COM	 170.000,000	GRADUATE DEGREE	MANAGEMENT	        00001	           2	9941 STONEHEDGE DR.	1 (11) 500 555-0111
	      11081	A		AW00011081	24.07.1966	M	F	SAVANNAH39@ADVENTURE-WORKS.COM	 120.000,000	BACHELORS	MANAGEMENT	        00001	           3	1210 TRAFALGAR CIRCLE	478-555-0117
	      11082	A		AW00011082	04.08.1966	S	F	ANGELA17@ADVENTURE-WORKS.COM	 130.000,000	GRADUATE DEGREE	MANAGEMENT	        00000	           3	6040 LISTING CT	579-555-0195
	      11083	A		AW00011083	15.03.1966	M	F	ALYSSA37@ADVENTURE-WORKS.COM	 130.000,000	GRADUATE DEGREE	MANAGEMENT	        00001	           3	867 LA ORINDA PLACE	561-555-0140
	      11084	A		AW00011084	12.09.1957	S	M	LUCAS7@ADVENTURE-WORKS.COM	  80.000,000	PARTIAL HIGH SCHOOL	SKILLED MANUAL	        00000	           2	8668 ST. CELESTINE COURT	863-555-0172
	      11085	A		AW00011085	19.07.1957	S	F	EMILY1@ADVENTURE-WORKS.COM	  60.000,000	HIGH SCHOOL	PROFESSIONAL	        00000	           2	7926 STEPHANIE WAY	850-555-0184
	      11086	A		AW00011086	23.12.1957	M	M	RYAN43@ADVENTURE-WORKS.COM	  70.000,000	PARTIAL COLLEGE	PROFESSIONAL	        00001	           0	2939 WESLEY CT.	539-555-0198
	      11087	A		AW00011087	03.10.1957	M	F	TAMARA6@ADVENTURE-WORKS.COM	  70.000,000	PARTIAL COLLEGE	PROFESSIONAL	        00000	           0	3791 ROSSMOR PARKWAY	178-555-0152
	      11088	A		AW00011088	25.11.1957	M	M	HUNTER64@ADVENTURE-WORKS.COM	  80.000,000	BACHELORS	MANAGEMENT	        00001	           0	4308 SAND POINTE LANE	612-555-0141
	      11089	A		AW00011089	05.02.1957	S	F	ABIGAIL25@ADVENTURE-WORKS.COM	  80.000,000	BACHELORS	MANAGEMENT	        00001	           1	2685 BLACKBURN CT	532-555-0117
	      11090	A		AW00011090	17.12.1957	S	M	TREVOR18@ADVENTURE-WORKS.COM	  90.000,000	PARTIAL COLLEGE	PROFESSIONAL	        00001	           1	5781 SHARON DR.	853-555-0174
	      11091	A		AW00011091	04.04.1957	M	M	DALTON37@ADVENTURE-WORKS.COM	  90.000,000	PARTIAL COLLEGE	PROFESSIONAL	        00001	           1	6083 SAN JOSE	559-555-0115
	      11092	A		AW00011092	06.05.1967	M	F	CHERYL4@ADVENTURE-WORKS.COM	  90.000,000	BACHELORS	PROFESSIONAL	        00001	           0	7297 KAYWOOD DRIVE	1 (11) 500 555-0192
	      11093	A		AW00011093	10.09.1967	M	F	AIMEE13@ADVENTURE-WORKS.COM	 100.000,000	GRADUATE DEGREE	MANAGEMENT	        00001	           0	1833 OLYMPIC DRIVE	1 (11) 500 555-0161
	      11094	A		AW00011094	01.04.1962	S	M	CEDRIC15@ADVENTURE-WORKS.COM	  70.000,000	PARTIAL COLLEGE	SKILLED MANUAL	        00000	           1	3407 OAK BROOK PLACE	1 (11) 500 555-0115
	      11095	A		AW00011095	01.09.1962	S	M	CHAD9@ADVENTURE-WORKS.COM	  70.000,000	PARTIAL COLLEGE	SKILLED MANUAL	        00001	           1	1681 LIGHTHOUSE WAY	1 (11) 500 555-0151
	      11096	A		AW00011096	10.08.1962	M	M	ANDR?S18@ADVENTURE-WORKS.COM	  60.000,000	BACHELORS	PROFESSIONAL	        00001	           1	5423 LOS GATOS CT.	1 (11) 500 555-0184
	      11097	A		AW00011097	27.10.1961	M	M	EDWIN39@ADVENTURE-WORKS.COM	  60.000,000	PARTIAL COLLEGE	SKILLED MANUAL	        00001	           1	719 WILLIAM WAY	1 (11) 500 555-0112
	      11098	A		AW00011098	01.05.1961	S	F	MALLORY7@ADVENTURE-WORKS.COM	  60.000,000	PARTIAL COLLEGE	SKILLED MANUAL	        00000	           1	6452 HARRIS CIRCLE	1 (11) 500 555-0157
	      11099	A		AW00011099	08.03.1961	M	M	ADAM2@ADVENTURE-WORKS.COM	  60.000,000	BACHELORS	PROFESSIONAL	        00001	           1	4378 WESTMINSTER PLACE	1 (11) 500 555-0186
	      11100	A		AW00011100	15.09.1960	S	F	LATASHA10@ADVENTURE-WORKS.COM	  60.000,000	PARTIAL COLLEGE	SKILLED MANUAL	        00001	           1	6954 RANCH ROAD	1 (11) 500 555-0123
	      11101	A		AW00011101	08.05.1965	S	F	ABBY4@ADVENTURE-WORKS.COM	  70.000,000	BACHELORS	PROFESSIONAL	        00000	           1	7074 N. SPOONWOOD COURT	1 (11) 500 555-0174
	      11102	A		AW00011102	21.04.1965	S	F	JULIA7@ADVENTURE-WORKS.COM	  80.000,000	BACHELORS	PROFESSIONAL	        00001	           4	2196 COAT CT.	1 (11) 500 555-0124
	      11103	A		AW00011103	17.10.1964	S	F	CASSIE13@ADVENTURE-WORKS.COM	  70.000,000	BACHELORS	PROFESSIONAL	        00001	           1	9448 SAN MARINO CT.	1 (11) 500 555-0166
	      11104	A		AW00011104	11.03.1964	M	M	EDGAR11@ADVENTURE-WORKS.COM	  70.000,000	BACHELORS	PROFESSIONAL	        00000	           1	6127 LILLY LANE	1 (11) 500 555-0125
	      11105	A		AW00011105	28.12.1964	S	F	CANDACE15@ADVENTURE-WORKS.COM	  70.000,000	BACHELORS	PROFESSIONAL	        00000	           1	5029 BLUE RIDGE	1 (11) 500 555-0162
	      11106	A		AW00011106	11.09.1964	S	M	JESSIE9@ADVENTURE-WORKS.COM	  70.000,000	BACHELORS	PROFESSIONAL	        00000	           1	3063 BLUE JAY DRIVE	1 (11) 500 555-0163
	      11107	A		AW00011107	09.09.1959	M	F	BIANCA7@ADVENTURE-WORKS.COM	  90.000,000	BACHELORS	PROFESSIONAL	        00001	           1	7530 EOLA	1 (11) 500 555-0121
	      11108	A		AW00011108	14.07.1963	S	F	KARI25@ADVENTURE-WORKS.COM	  70.000,000	BACHELORS	PROFESSIONAL	        00000	           2	9178 THORNHILL PLACE	1 (11) 500 555-0169
	      11109	A		AW00011109	05.11.1963	S	M	RUBEN1@ADVENTURE-WORKS.COM	  70.000,000	BACHELORS	PROFESSIONAL	        00000	           2	1984 GLENDALE CIRCLE	1 (11) 500 555-0132
	      11110	A		AW00011110	06.06.1962	M	M	CURTIS5@ADVENTURE-WORKS.COM	  60.000,000	PARTIAL COLLEGE	SKILLED MANUAL	        00001	           1	4052 MT. WILSON WAY	1 (11) 500 555-0127
	      11111	A		AW00011111	23.02.1962	M	F	MEREDITH34@ADVENTURE-WORKS.COM	  60.000,000	PARTIAL COLLEGE	SKILLED MANUAL	        00001	           1	7610 NORTHRIDGE CT.	1 (11) 500 555-0179
	      11112	A		AW00011112	09.09.1962	M	F	CRYSTAL3@ADVENTURE-WORKS.COM	  60.000,000	PARTIAL COLLEGE	SKILLED MANUAL	        00001	           1	2773 KIRKWOOD DR	1 (11) 500 555-0134
	      11113	A		AW00011113	21.02.1962	M	M	MICHEAL11@ADVENTURE-WORKS.COM	  70.000,000	BACHELORS	PROFESSIONAL	        00001	           2	596 MARFARGOA DRIVE	1 (11) 500 555-0131
	      11114	A		AW00011114	28.05.1962	S	F	LESLIE7@ADVENTURE-WORKS.COM	  70.000,000	PARTIAL COLLEGE	SKILLED MANUAL	        00001	           2	7941 CRISTOBAL	1 (11) 500 555-0115
	      11115	A		AW00011115	12.02.1962	M	M	ALVIN20@ADVENTURE-WORKS.COM	  70.000,000	PARTIAL COLLEGE	SKILLED MANUAL	        00001	           2	7759 AZALEA AVENUE	1 (11) 500 555-0191
	      11116	A		AW00011116	07.10.1962	M	M	CLINTON14@ADVENTURE-WORKS.COM	  70.000,000	PARTIAL COLLEGE	SKILLED MANUAL	        00001	           2	7943 CUNHA CT.	1 (11) 500 555-0184
	      11117	A		AW00011117	21.02.1961	M	F	APRIL1@ADVENTURE-WORKS.COM	  70.000,000	PARTIAL COLLEGE	SKILLED MANUAL	        00001	           3	485 ASH LANE	1 (11) 500 555-0182
	      11118	A		AW00011118	03.07.1957	S	M	ALVIN21@ADVENTURE-WORKS.COM	  80.000,000	PARTIAL COLLEGE	SKILLED MANUAL	        00000	           1	3853 WILDCAT CIRCLE	1 (11) 500 555-0174
	      11119	A		AW00011119	10.04.1935	S	M	EVAN8@ADVENTURE-WORKS.COM	  30.000,000	PARTIAL COLLEGE	CLERICAL	        00000	           2	4157 SIERRA RIDGE	1 (11) 500 555-0187
	      11120	A		AW00011120	09.08.1936	S	F	BETH8@ADVENTURE-WORKS.COM	  40.000,000	BACHELORS	MANAGEMENT	        00001	           1	7401 LAS PALMAS	1 (11) 500 555-0164
	      11121	A		AW00011121	18.11.1960	M	M	ORLANDO19@ADVENTURE-WORKS.COM	  70.000,000	PARTIAL COLLEGE	SKILLED MANUAL	        00001	           3	7743 HAMES DR	1 (11) 500 555-0198
	      11122	A		AW00011122	02.04.1960	M	M	BYRON9@ADVENTURE-WORKS.COM	  70.000,000	PARTIAL COLLEGE	SKILLED MANUAL	        00001	           3	3187 HACKAMORE LANE	1 (11) 500 555-0136
	      11123	A		AW00011123	20.06.1960	M	M	PHILIP4@ADVENTURE-WORKS.COM	  70.000,000	PARTIAL COLLEGE	SKILLED MANUAL	        00001	           3	2775 MT. OLIVET PL.	1 (11) 500 555-0191
	      11124	A		AW00011124	27.07.1957	S	M	ROSS1@ADVENTURE-WORKS.COM	  80.000,000	PARTIAL COLLEGE	SKILLED MANUAL	        00001	           1	6973 DUBLIN COURT	1 (11) 500 555-0126
	      11125	A		AW00011125	08.04.1956	S	F	DANA2@ADVENTURE-WORKS.COM	  70.000,000	PARTIAL COLLEGE	SKILLED MANUAL	        00001	           1	8481 ZARTOP STREET	1 (11) 500 555-0172
	      11126	A		AW00011126	07.04.1949	M	M	SHAUN16@ADVENTURE-WORKS.COM	  10.000,000	HIGH SCHOOL	SKILLED MANUAL	        00000	           2	57 WOLF WAY	1 (11) 500 555-0155
